emisor,anio,periodo,que_falta,que_pedir,desbloquea,detalle
BVC,2025,ANUAL,NO se arregla con una descarga,decision de Alex: cargar la cifra a mano (como PEI) o dejar el hueco,deuda_financiera de todo el emisor,"su XBRL no etiqueta ninguna bolsa de deuda: aunque llegue el informe, el canal XBRL seguira sin poder leerla. Habria que cargar la cifra A MANO, como ya se hace con PEI"
DAVIVIENDA_GROUP,2025,ANUAL,NO se arregla con una descarga,decision de Alex: cargar la cifra a mano (como PEI) o dejar el hueco,deuda_financiera de todo el emisor,le falta la linea 'Instrumentos de deuda emitidos' (12.763.556 millones en 2025): su XBRL no trae `TitulosEmitidos` ni equivalente. Tambien seria carga a mano
GRUPO_SURA,2025,ANUAL,NO se arregla con una descarga,decision de Alex: cargar la cifra a mano (como PEI) o dejar el hueco,deuda_financiera de todo el emisor,"igual que BVC: el XBRL consolidado no etiqueta deuda. Ademas el informe local solo trae la nota 6.2.1 del estado SEPARADO, que no es el perimetro del XBRL"
BANCO_DE_BOGOTA,2019,ANUAL,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
BANCO_DE_BOGOTA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
BANCO_DE_BOGOTA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
BANCO_DE_BOGOTA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CELSIA,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CELSIA,2020,T2,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CELSIA,2020,T3,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CEMENTOS_ARGOS,2019,ANUAL,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
CEMENTOS_ARGOS,2020,T1,XBRL,"Estados Financieros CONSOLIDADOS en XBRL del periodo, radicados en SIMEV",deuda_financiera de esa fila (la formula del emisor ya esta verificada),el periodo tiene fila en fundamentales_reportados (la creo el canal de PDF) pero no hay .xbrl en el corpus
